RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Diameter Right [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Video Time [h:m:s:ms],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
86386.7,14:39:22:029,Trial001,Ethan lane 1_2-1-recording.avi,0.0,184376.2,Ethan lane 1_2,DarkBlue,98.8,Eye,Blink,1,4.0,140.6,392.6,-11.9,-176.6,0.4,0.3,0.8,00:00:00:000,-,-,-,-,-,-,-,-
86403.6,14:39:22:046,Trial001,Ethan lane 1_2-1-recording.avi,0.0,184376.2,Ethan lane 1_2,DarkBlue,98.8,Eye,Blink,1,4.0,148.2,395.8,-3.9,-163.3,0.4,0.3,0.8,00:00:00:000,-,-,-,-,-,-,-,-
86420.2,14:39:22:062,Trial001,Ethan lane 1_2-1-recording.avi,0.0,184376.2,Ethan lane 1_2,DarkBlue,98.8,Eye,Blink,1,4.0,155.9,399.3,4.4,-149.4,0.4,0.3,0.8,00:00:00:000,-,-,-,-,-,-,-,-
86436.4,14:39:22:079,Trial001,Ethan lane 1_2-1-recording.avi,0.0,184376.2,Ethan lane 1_2,DarkBlue,98.8,Eye,Blink,1,4.0,155.9,399.3,4.4,-149.4,0.4,0.3,0.8,00:00:00:032,-,-,-,-,-,-,-,-
86453.4,14:39:22:096,Trial001,Ethan lane 1_2-1-recording.avi,0.0,184376.2,Ethan lane 1_2,DarkBlue,98.8,Eye,Blink,1,4.0,155.9,399.3,4.4,-149.4,0.4,0.3,0.8,00:00:00:032,-,-,-,-,-,-,-,-
86469.7,14:39:22:112,Trial001,Ethan lane 1_2-1-recording.avi,0.0,184376.2,Ethan lane 1_2,DarkBlue,98.8,Eye,Blink,1,4.0,155.9,399.3,4.4,-149.4,0.4,0.3,0.8,00:00:00:066,-,-,-,-,-,-,-,-
86486.5,14:39:22:129,Trial001,Ethan lane 1_2-1-recording.avi,0.0,184376.2,Ethan lane 1_2,DarkBlue,98.8,Eye,Blink,1,4.0,155.9,397.3,4.4,-149.4,0.4,0.3,0.8,00:00:00:066,-,-,-,-,-,-,-,-
86502.9,14:39:22:145,Trial001,Ethan lane 1_2-1-recording.avi,0.0,184376.2,Ethan lane 1_2,DarkBlue,98.8,Eye,Blink,1,4.0,155.9,397.3,4.4,-149.4,0.4,0.3,0.8,00:00:00:099,-,-,-,-,-,-,-,-
86519.4,14:39:22:162,Trial001,Ethan lane 1_2-1-recording.avi,0.0,184376.2,Ethan lane 1_2,DarkBlue,98.8,Eye,Blink,1,4.0,131.1,408.5,-21.1,-185.4,0.4,0.3,0.8,00:00:00:099,-,-,-,-,-,-,-,-
86536.0,14:39:22:178,Trial001,Ethan lane 1_2-1-recording.avi,0.0,184376.2,Ethan lane 1_2,DarkBlue,98.8,Eye,Blink,1,4.0,95.5,294.8,-33.5,-179.4,0.5,0.3,0.8,00:00:00:132,-,-,-,-,-,-,-,-
